               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.049098,            0.026861,           0.0032987,             0.78852,             0.84415,             0.87384,             0.43703,            0.039865,            0.014018,            0.002588,            0.007723,            0.007723,            0.007723
                 117,            0.048978,            0.025439,           0.0045344,             0.79042,             0.87572,             0.88815,              0.4518,            0.036997,            0.013902,           0.0025278,           0.0077032,           0.0077032,           0.0077032
                 118,            0.046038,            0.029467,           0.0037741,             0.75968,              0.8577,             0.89328,             0.47199,            0.037547,             0.01381,           0.0025687,           0.0076834,           0.0076834,           0.0076834
                 119,             0.04536,            0.022731,           0.0036204,             0.80351,             0.85792,             0.90667,             0.49884,            0.035482,            0.013873,           0.0026367,           0.0076636,           0.0076636,           0.0076636
                 120,            0.044941,            0.022481,           0.0034085,             0.80148,             0.85792,             0.90623,             0.47812,            0.036245,            0.013723,           0.0025815,           0.0076438,           0.0076438,           0.0076438
                 121,            0.046549,            0.021917,           0.0045026,              0.7949,             0.88873,             0.90471,              0.4945,            0.035712,            0.013793,           0.0025438,            0.007624,            0.007624,            0.007624
                 122,             0.04795,            0.026704,            0.004054,             0.80598,             0.85545,             0.89522,             0.50704,            0.034996,            0.013626,           0.0025355,           0.0076042,           0.0076042,           0.0076042
                 123,             0.04453,            0.023287,           0.0037331,             0.81968,             0.82561,             0.90522,             0.49106,            0.037257,            0.013559,           0.0025619,           0.0075844,           0.0075844,           0.0075844
                 124,            0.043319,            0.025418,           0.0032204,              0.8414,              0.8233,             0.90344,             0.48947,            0.036535,            0.013555,           0.0025944,           0.0075646,           0.0075646,           0.0075646
                 125,            0.044721,            0.027204,           0.0034888,             0.79176,             0.81253,             0.85498,             0.46847,            0.037303,            0.013442,           0.0025786,           0.0075448,           0.0075448,           0.0075448
                 126,            0.045392,            0.023734,           0.0034484,              0.9114,             0.82225,             0.91572,             0.51839,            0.034868,            0.013334,           0.0025871,            0.007525,            0.007525,            0.007525
                 127,            0.044646,            0.019202,           0.0037536,             0.83771,             0.84032,             0.90815,             0.50786,            0.035425,            0.013297,           0.0025943,           0.0075052,           0.0075052,           0.0075052
                 128,            0.043872,            0.024674,           0.0047719,             0.86342,             0.84351,             0.91571,             0.53264,            0.035296,            0.013307,           0.0026926,           0.0074854,           0.0074854,           0.0074854
                 129,            0.045188,            0.021385,           0.0038228,             0.81973,             0.88348,             0.91484,             0.53703,            0.035088,            0.013337,           0.0027302,           0.0074656,           0.0074656,           0.0074656
                 130,            0.046488,            0.027688,           0.0045481,             0.83927,             0.89476,             0.92575,             0.54709,            0.034408,            0.013151,           0.0026585,           0.0074458,           0.0074458,           0.0074458
                 131,            0.043481,            0.024765,           0.0038454,             0.81767,             0.86823,             0.91085,             0.48374,            0.035655,             0.01312,           0.0026292,            0.007426,            0.007426,            0.007426
